num	t/b	strain	dE	RMS	PR	hyst
146	top	0.0119	0.0	0.0003207054764374114	0.4632312130197192	0.0041
146	bot	0.0077	0.0	0.00031750716290724414	0.48766545829270075	0.0041
147	top	0.0131	0.0	2.356005199336035e-05	0.15326426239672594	0.0001
147	bot	0.0129	0.0	2.3560051993360058e-05	0.15308130373403436	0.0001
148	top	0.0408	0.0	1.6249155634175506e-05	0.16949280552965842	0.0003
148	bot	0.0404	0.0	1.8304691426412764e-05	0.21596313266264539	0.0003
149	top	0.0078	0.0	4.617811966709258e-06	0.3473366544794343	0.0001
149	bot	0.0076	0.0	4.6178119667092415e-06	0.3464076585180679	0.0001
150	top	0.011	0.0	0.0003229234291759657	0.43070907820016147	0.0108
150	bot	0.0001	0.0	0.00024820572054208584	0.3089022328776223	0.0108
151	top	0.0641	0.0	3.6193253138680885e-05	0.2109409779438277	0.0008
151	bot	0.0632	0.0	3.2547692754244525e-05	0.20282060557844114	0.0008
152	top	0.031	0.0	7.559008515551159e-05	0.20211101049140145	0.0003
152	bot	0.0306	0.0	7.301444933255007e-05	0.19021125369246286	0.0003
153	top	0.0103	0.0	0.00010483842774452222	0.26974162681128616	0.0008
153	bot	0.0094	0.0	7.318769402579991e-05	0.29745703381563005	0.0008
154	top	0.0119	0.0	4.9431808493413834e-05	0.1369247628115142	0.0083
154	bot	0.0035	0.0	8.8849767860215e-05	0.11108387438577917	0.0083
155	top	0.0332	0.0	0.00026740494954496284	0.1999857628377254	0.0074
155	bot	0.0257	0.0	0.00027440892590476743	0.13205950717767873	0.0074
156	top	0.0154	0.0	9.196030266895548e-06	0.34703186810830366	0.0001
156	bot	0.0152	0.0	9.196030266895027e-06	0.34759184864170856	0.0001
157	top	0.053	0.0	0.0001932896285443338	0.27850769505310435	0.002
157	bot	0.0509	0.0	0.00019008439749526633	0.2843862980404652	0.002
158	top	0.0093	0.0	0.00010947280795510554	0.5286864284753972	0.0009
158	bot	0.0083	0.0	0.00010257634374917698	0.531959383528317	0.0009
159	top	0.0068	0.0	8.44178711110467e-05	0.22266849989270124	0.0024
159	bot	0.0043	0.0	4.924292558378661e-05	0.19919492749284873	0.0024
160	top	0.0168	0.0	2.820065962709995e-05	0.2846242661347286	0.0003
160	bot	0.0164	0.0	2.3600848470214587e-05	0.29015625845429144	0.0003
161	top	0.0161	0.0	0.00020773559103457408	0.1797941616504743	0.0014
161	bot	0.0146	0.0	0.00018851503176553085	0.16509714792051122	0.0014
162	top	0.0012	0.0	7.688605397598107e-05	0.16986765629826003	0.0036
162	bot	-0.0025	0.0	5.9757025536579115e-05	0.18188346119180657	0.0036
163	top	0.0027	0.0	2.8713146976752594e-05	0.13439184983281663	0.0007
163	bot	0.0019	0.0	2.5391019961139463e-05	0.12108797266980642	0.0007
164	top	0.0067	0.0	0.0003257864228867221	0.35847259620727234	0.0061
164	bot	0.0005	0.0	0.0003050533277499852	0.3419724386671272	0.0061
165	top	0.0062	0.0	2.22743878585881e-05	0.08774190238392335	0.002
165	bot	0.0041	0.0	4.5495624091850014e-05	0.05840015707926719	0.002
166	top	0.0362	0.0	8.224818535349151e-05	0.2381241000327566	0.0009
166	bot	0.0352	0.0	7.89507279260072e-05	0.23135282029474996	0.0009
167	top	0.003	0.0	6.319140058981886e-05	0.4122979119806471	0.0002
167	bot	0.0027	0.0	7.495684827344726e-05	0.4110739683073107	0.0002
168	top	0.0125	0.0	0.00016247603716443637	0.4814077337127969	0.0051
168	bot	0.0073	0.0	0.00027138963861260136	0.5391447053294471	0.0051
169	top	0.0143	0.0	1.5681696793982866e-05	0.11709264551474513	0.0004
169	bot	0.0138	0.0	1.4719245316185211e-05	0.11378347140367165	0.0004
170	top	0.018	0.0	3.300789512117466e-05	0.16141247946787143	0.0002
170	bot	0.0177	0.0	2.7810435053512217e-05	0.16390657172194922	0.0002
171	top	0.001	0.0	0.0001734519458178273	0.3463627672017467	0.0021
171	bot	-0.0012	0.0	0.0002089160436022021	0.32669401845330526	0.0021
172	top	0.004	0.0	5.1490413752884307e-05	0.4020725481100258	0.0015
172	bot	0.0024	0.0	4.6257132093749134e-05	0.4178599606909997	0.0015
173	top	0.0218	0.0	5.755637679995571e-05	0.24420270063106447	0.006
173	bot	0.0157	0.0	2.634130672539657e-05	0.3790052444891858	0.006
174	top	0.0066	0.0	8.196259306389072e-05	0.06815029762174045	0.0018
174	bot	0.0047	0.0	6.794948238175425e-05	0.07541075991950534	0.0018
175	top	0.0059	0.0	2.552447773736753e-06	0.008457791130039673	0.0016
175	bot	0.0042	0.0	3.1642853297531673e-06	0.00897094777187232	0.0016
176	top	0.012	0.0	4.877636071689701e-05	0.34305898393094836	0.0005
176	bot	0.0114	0.0	3.4456008666342305e-05	0.3268705882502277	0.0005
177	top	0.0104	0.0	0.00013022544080160432	0.2886301738022287	0.0002
177	bot	0.0101	0.0	0.00011876348635201626	0.2930100446573231	0.0002
178	top	0.047	0.0	0.0002881637402948531	0.056947502382399526	0.0132
178	bot	0.0337	0.0	0.00022717247656870162	0.034883201275246946	0.0132
179	top	0.0166	0.0	3.422345592545781e-05	0.010507698404425805	0.0108
179	bot	0.0057	0.0	6.993653066404946e-07	0.010963413428617074	0.0108
180	top	0.0059	0.0	2.576481999849363e-05	0.28186803531593674	0.0001
180	bot	0.0057	0.0	2.576481999849391e-05	0.28234655446744145	0.0001
